id,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,materialSampleID,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,identificationVerificationStatus,typeStatus,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks
767126379,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126379,BOMBUS24930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126380,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126380,BOMBUS24931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126381,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126381,BOMBUS24932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126382,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126382,BOMBUS24933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126383,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126383,BOMBUS24934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126384,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126384,BOMBUS24935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126385,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126385,BOMBUS24936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126386,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126386,BOMBUS24937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126387,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126387,BOMBUS24938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126388,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126388,BOMBUS24939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,6,1,,,,,,,,,,,,,USA,,Nebraska,Lancaster,,Branched Oak,,,,,,,,,,,,,40.97778,-96.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
