Asclepias tuberosa,Megachile mendica
Asclepias tuberosa,Bombus bimaculatus
Asclepias tuberosa,Bombus griseocollis
Asclepias tuberosa,Nomada parva
,Bombus bimaculatus
,Triepeolus lunatus
,Melissodes comptoides
Monarda punctata,Melissodes subillatus
Monarda punctata,Lasioglossum callidum
Monarda punctata,Lasioglossum hitchensi
Monarda punctata,Halictus poeyi/ligatus
Monarda punctata,Melissodes trinodis
Rudbeckia hirta,Lasioglossum trigeminum
Rudbeckia hirta,Calliopsis andreniformis
,Bombus fervidus/pensylvanicus
Melilotus officinalis,Halictus parallelus
Trifolium pratense,Lasioglossum coreopsis
Coronilla varia,Lasioglossum coreopsis
Daucus carota,Lasioglossum hitchensi
Daucus carota,Lasioglossum trigeminum
Rudbeckia hirta,Nomada texana
Rudbeckia hirta,Augochlora pura
Chamaecrista fasciculata,Augochlorella aurata
Pycnanthemum tenuifolium,Halictus poeyi/ligatus
Agastache foeniculum,Bombus citrinus
Agastache foeniculum,Bombus bimaculatus
Daucus carota,Hylaeus affinis/modestus
Daucus carota,Ceratina calcarata
Pycnanthemum tenuifolium,Ceratina calcarata
Coronilla varia,Lasioglossum subviridatum
Coronilla varia,Lasioglossum tegulare
Cosmos bipinnatus,Lasioglossum versatum
,Anthidiellum notatum
,Megachile exilis
Daucus carota,Lasioglossum pilosum
Daucus carota,Augochlorella aurata
Trifolium pratense,Hylaeus modestus
Coronilla varia,Hylaeus affinis/modestus
,Melitoma taurea
Chamaecrista fasciculata,Triepeolus lunatus
Chamaecrista fasciculata,Halictus poeyi/ligatus
Monarda punctata,Bombus impatiens
,Triepeolus remigatus
,Anthidium manicatum
,Bombus griseocollis
,Bombus pensylvanicus
Trifolium pratense,Calliopsis andreniformis
Trifolium pratense,Lasioglossum hitchensi
Melilotus officinalis,Lasioglossum pilosum
Daucus carota,Melissodes bimaculatus
Chamaecrista fasciculata,Lasioglossum trigeminum
Chamaecrista fasciculata,Lasioglossum hitchensi
Helenium flexuosum,Lasioglossum trigeminum
